device_id,pred_pm25
74DA3895C490,40.63
74DA3895C496,36.13
74DA3895C49C,37.0
74DA3895C49E,38.95
74DA3895C4A4,36.44
74DA3895C4A6,34.25
74DA3895C4AC,35.99
74DA3895C4AE,34.22
74DA3895C4B0,32.97
74DA3895C4B2,32.41
74DA3895C4B6,30.83
74DA3895C4BA,36.69
74DA3895C4BE,32.75
74DA3895C4C0,32.54
74DA3895C4C2,38.57
74DA3895C4C8,33.81
74DA3895C4CA,31.82
74DA3895C4D2,36.97
74DA3895C4D4,39.62
74DA3895C4D6,40.66
74DA3895C4D8,38.44
74DA3895C4DA,38.11
74DA3895C4DC,37.69
74DA3895C4E2,37.99
74DA3895C4F6,35.68
74DA3895C4F8,31.94
74DA3895C4FA,32.75
74DA3895C4FC,41.16
74DA3895C4FE,33.02
74DA3895C500,34.44
74DA3895C504,30.6
74DA3895C508,30.58
74DA3895C50A,29.21
74DA3895C50E,33.79
74DA3895C510,31.49
74DA3895C512,31.43
74DA3895C516,32.57
74DA3895C51C,31.5
74DA3895C51E,31.59
74DA3895C520,35.14
74DA3895C522,39.36
74DA3895C524,38.58
74DA3895C526,32.68
74DA3895C52C,35.46
74DA3895C530,35.73
74DA3895C532,36.12
74DA3895C538,32.45
74DA3895C53A,34.45
74DA3895C53C,42.19
74DA3895C548,32.88
74DA3895C54A,38.02
74DA3895C54C,34.5
74DA3895C550,35.64
74DA3895C554,29.98
74DA3895C556,32.37
74DA3895C558,35.82
74DA3895C55A,29.22
74DA3895C55C,35.32
74DA3895C55E,38.31
74DA3895C560,35.72
74DA3895C562,35.74
74DA3895C566,38.64
74DA3895C56E,36.99
74DA3895C570,33.2
74DA3895C572,38.44
74DA3895C576,32.98
74DA3895C578,34.57
74DA3895C57A,30.16
74DA3895C57E,34.65
74DA3895C580,33.6
74DA3895C582,36.07
74DA3895C586,35.95
74DA3895C588,44.44
74DA3895C58E,34.1
74DA3895C590,32.58
74DA3895C594,35.1
74DA3895C596,36.22
74DA3895C598,35.54
74DA3895C59A,34.76
74DA3895C59C,42.86
74DA3895C59E,39.75
74DA3895C5A6,36.25
74DA3895C5B4,41.38
74DA3895C5C2,30.24
74DA3895C5C6,40.43
74DA3895C5D0,39.81
74DA3895C5D2,36.37
74DA3895C5D8,35.57
74DA3895C5DC,36.22
74DA3895C5DE,35.35
74DA3895DF9E,31.73
74DA3895DFA4,38.33
74DA3895DFA6,30.08
74DA3895DFB4,39.36
74DA3895DFB6,37.88
74DA3895DFC4,36.1
74DA3895DFC6,36.7
74DA3895DFC8,41.42
74DA3895DFCC,41.17
74DA3895DFD0,38.2
74DA3895E06E,33.04
74DA3895E070,36.58
74DA3895E074,37.52
74DA3895E076,39.28
74DA3895E078,39.88
74DA3895E0A4,35.68
74DA3895E0A8,32.29
74DA3895E0AC,33.48
74DA3895E0AE,39.35
74DA3895E0B0,35.59
74DA3895E0BE,34.85
74DA3895E0D0,40.45
74DA3895E0DC,37.83
74DA3895E0E0,34.52
74DA3895E0E2,31.73
